city,neighborhood,population_density,services_count,competitors_count,latitude,longitude,id
Khamis Mushait,حي العرق الشمالي,3799,39,30,18.306,42.7332,1
Khamis Mushait,حي ام سرور,3800,41,26,18.3148,42.7332,2
Khamis Mushait,حي الشرفية,3800,58,40,18.317,42.7353,3
Khamis Mushait,حي قمبر,3800,44,29,18.306,42.7374,4
Khamis Mushait,حي الربيع,3800,47,28,18.3082,42.7395,5
Khamis Mushait,حي السلام,3800,71,53,18.3104,42.7416,6
Khamis Mushait,حي نشوان,3800,51,27,18.3126,42.7437,7
Khamis Mushait,حي المصيف,3800,47,42,18.3148,42.729,8
Khamis Mushait,حي الصناعية,3800,50,43,18.317,42.7311,9
Abha,حي المنهل,4500,10,21,18.2164,42.5053,10
Abha,حي النصب,4500,10,21,18.2184,42.5073,11
Abha,حي وسط المدينة,4500,11,21,18.2204,42.5093,12
Abha,حي النزهة,4500,57,50,18.2224,42.5113,13
Abha,حي ذرة,4500,10,21,18.2244,42.5133,14
Abha,حي شمسان,4500,20,23,18.2164,42.5153,15
Abha,حي القرى,4500,22,22,18.2184,42.5173,16
Abha,حي الوردتين,4500,10,21,18.2204,42.5053,17
Abha,حي الوادي,3200,12,22,18.2164,42.5093,18
Abha,حي الضباب,4500,16,22,18.2184,42.5133,19
Abha,حي الوصايف,4500,15,23,18.2204,42.5153,20
Abha,حي الشرفية,4500,58,40,18.2224,42.5173,21
Abha,حي العزيزية,4500,54,51,18.2244,42.5053,22
Abha,حي الشفاء,3200,50,54,18.2164,42.5073,23
Abha,حي المفتاحة,3200,12,22,18.2184,42.5093,24
Abha,حي السروات,3200,12,21,18.2204,42.5113,25
Abha,حي المروج,3200,13,22,18.2224,42.5133,26
Abha,حي السد,3200,53,44,18.2244,42.5153,27
Abha,حي الخشع,3200,23,23,18.2164,42.5173,28
Abha,حي القابل,3200,10,21,18.2184,42.5053,29
Abha,حي الفيصلية,3200,10,21,18.2204,42.5073,30
Abha,حي الخالدية,3200,49,51,18.2224,42.5093,31
Abha,حي العرين,3200,9,20,18.2244,42.5113,32
Abha,حي البديع,3200,17,22,18.2164,42.5133,33
Khamis Mushait,حي الحمراء,3800,40,22,18.317,42.7353,34
Khamis Mushait,حي الهرير الغربى,3800,44,29,18.306,42.7374,35
Khamis Mushait,حي المراث,3800,47,28,18.3082,42.7395,36
Khamis Mushait,حي الظرفة,3800,51,30,18.3104,42.7416,37
Khamis Mushait,حي تارة,3800,51,27,18.3126,42.7437,38
Khamis Mushait,حي النجاح,3800,37,21,18.3148,42.729,39
Khamis Mushait,حي الجبل,3800,39,22,18.317,42.7311,40
Khamis Mushait,حي شمال التضامن,3800,39,30,18.306,42.7332,41
Khamis Mushait,حي الوفاء,3800,43,32,18.3082,42.7353,42
Khamis Mushait,حي التعاون,3800,54,51,18.3104,42.7374,43
Khamis Mushait,حي أحد,3800,48,28,18.3126,42.7395,44
Khamis Mushait,حي الدوحة,3800,43,32,18.3082,42.7353,45
Khamis Mushait,حي العزيزية,3800,54,51,18.3104,42.7374,46
Abha,حي الروضة,3200,63,52,18.2184,42.5113,47
Abha,حي الفل,3200,15,22,18.2204,42.5133,48
Abha,حي الروابي,3200,14,20,18.2224,42.5153,49
Khamis Mushait,حي الوقواق,5200,45,29,18.3126,42.7353,50
Khamis Mushait,حي الهرير الشرقى,5200,45,28,18.3148,42.7374,51
Khamis Mushait,حي الوقبة,5200,46,27,18.317,42.7395,52
Khamis Mushait,حي مصلوم,5200,46,29,18.306,42.7416,53
Khamis Mushait,حي الراقي,5200,48,27,18.3082,42.7437,54
Khamis Mushait,حي الأسواق,5200,37,28,18.3104,42.729,55
Khamis Mushait,حي الواحة,5200,39,28,18.3126,42.7311,56
Khamis Mushait,حي السد,5200,53,44,18.3148,42.7332,57
Khamis Mushait,حي الجزيرة,5200,40,22,18.317,42.7353,58
Khamis Mushait,حي طيب الاسم,5200,44,29,18.306,42.7374,59
Khamis Mushait,حي الزهور,5200,69,50,18.3082,42.7395,60
Khamis Mushait,حي الروضة,5200,63,52,18.3104,42.7416,61
Khamis Mushait,حي المنتزه,5200,51,27,18.3126,42.7437,62
Khamis Mushait,حي ضمك,5200,37,21,18.3148,42.729,63
Khamis Mushait,حي الخزان,5200,39,22,18.317,42.7311,64
Khamis Mushait,حي الخالدية,5200,49,51,18.306,42.7332,65
Abha,حي الربوة,4500,10,21,18.2224,42.5073,66
Abha,حي المطار,3200,15,18,18.2244,42.5173,67
Abha,حي المصيف,3200,47,42,18.2164,42.5053,68
Abha,حي سلطانة,3200,10,21,18.2184,42.5073,69
Abha,حي الصناعية,3200,50,43,18.2204,42.5093,70
Abha,حي البحيره,3200,12,21,18.2224,42.5113,71
Abha,حي العقيق,3200,10,21,18.2244,42.5133,72
Abha,حي السلام,3200,71,53,18.2164,42.5153,73
Abha,حي الزهور,3200,69,50,18.2184,42.5173,74
Abha,حي المسك,3200,10,21,18.2204,42.5053,75
Khamis Mushait,حي ذهبان الغربى,5200,35,31,18.306,42.729,76
Khamis Mushait,حي ذهبان الشرقى,5200,40,32,18.3082,42.7311,77
